,time,num_restricoes
4,0.014999999984866008,16
9,0.015000000013969839,76
14,0.01600000000325963,186
19,0.0159999999741558,346
24,0.01600000000325963,556
29,0.030999999988125637,816
34,0.014999999984866008,1126
39,0.030999999988125637,1486
44,0.03200000000651926,1896
49,0.030999999988125637,2356
54,0.046999999991385266,2866
59,0.046999999991385266,3426
64,0.0629999999946449,4036
69,0.07899999999790452,4696
74,0.062000000005355105,5406
79,0.07800000000861473,6166
84,0.09400000001187436,6976
89,0.14100000000325963,7836
94,0.14100000000325963,8746
99,0.125,9706
